state,year,year_index,ipc_crimes,sll_crimes,total_crimes,growth_rate,avg_3yr_ipc,ipc_sll_ratio
Maharashtra,2020,17,394017,144986,539003,0.15519051025553823,360464.0,2.7176210116838866
Manipur,2003,0,2537,615,3152,0.0,2537.0,4.12520325203252
Manipur,2004,1,2535,452,2987,-0.0007883326763894363,2535.0,5.6084070796460175
Manipur,2005,2,2913,538,3451,0.14911242603550295,2661.6666666666665,5.41449814126394
Manipur,2006,3,2884,483,3367,-0.009955372468245795,2777.3333333333335,5.971014492753623
Manipur,2007,4,3259,753,4012,0.13002773925104022,3018.6666666666665,4.328021248339973
Manipur,2008,5,3349,1086,4435,0.027615833077631175,3164.0,3.083793738489871
Manipur,2009,6,2852,917,3769,-0.14840250821140638,3153.3333333333335,3.110141766630316
Manipur,2010,7,2715,979,3694,-0.048036465638148666,2972.0,2.773237997957099
Manipur,2011,8,3218,1218,4436,0.1852670349907919,2928.3333333333335,2.6420361247947457
Manipur,2012,9,3737,1497,5234,0.1612802983219391,3223.3333333333335,2.4963259853039412
Manipur,2013,10,3178,752,3930,-0.1495852287931496,3377.6666666666665,4.226063829787234
Manipur,2014,11,3641,868,4509,0.14568911264946507,3518.6666666666665,4.194700460829493
Manipur,2015,12,3847,1004,4851,0.0565778632243889,3555.3333333333335,3.8316733067729083
Manipur,2016,13,3170,928,4098,-0.17598128411749414,3552.6666666666665,3.415948275862069
Manipur,2017,14,3416,834,4250,0.07760252365930599,3477.6666666666665,4.095923261390888
Manipur,2018,15,2869,912,3781,-0.1601288056206089,3151.6666666666665,3.1458333333333335
Manipur,2019,16,2830,831,3661,-0.013593586615545486,3038.3333333333335,3.405535499398315
Manipur,2020,17,2349,637,2986,-0.16996466431095406,2682.6666666666665,3.6875981161695446
Meghalaya,2003,0,1669,376,2045,0.0,1669.0,4.4388297872340425
Meghalaya,2004,1,1757,125,1882,0.052726183343319355,1757.0,14.056
Meghalaya,2005,2,1880,136,2016,0.07000569151963575,1768.6666666666667,13.823529411764707
Meghalaya,2006,3,1935,85,2020,0.02925531914893617,1857.3333333333333,22.764705882352942
Meghalaya,2007,4,2079,123,2202,0.07441860465116279,1964.6666666666667,16.902439024390244
Meghalaya,2008,5,2318,157,2475,0.11495911495911496,2110.6666666666665,14.764331210191083
Meghalaya,2009,6,2448,167,2615,0.056082830025884385,2281.6666666666665,14.658682634730539
Meghalaya,2010,7,2505,135,2640,0.023284313725490197,2423.6666666666665,18.555555555555557
Meghalaya,2011,8,2755,132,2887,0.0998003992015968,2569.3333333333335,20.87121212121212
Meghalaya,2012,9,2557,204,2761,-0.07186932849364791,2605.6666666666665,12.534313725490197
Meghalaya,2013,10,3259,209,3468,0.2745404771216269,2857.0,15.5933014354067
Meghalaya,2014,11,3679,304,3983,0.12887388769561214,3165.0,12.101973684210526
Meghalaya,2015,12,4079,327,4406,0.10872519706441967,3672.3333333333335,12.474006116207951
Meghalaya,2016,13,3366,216,3582,-0.17479774454523167,3708.0,15.583333333333334
Meghalaya,2017,14,3521,431,3952,0.046048722519310754,3655.3333333333335,8.169373549883991
Meghalaya,2018,15,2921,561,3482,-0.17040613462084636,3269.3333333333335,5.206773618538325
Meghalaya,2019,16,3125,772,3897,0.06983909619993153,3189.0,4.0479274611398965
Meghalaya,2020,17,2871,873,3744,-0.08128,2972.3333333333335,3.288659793814433
Mizoram,2003,0,3456,1008,4464,0.0,3456.0,3.4285714285714284
Mizoram,2004,1,1515,776,2291,-0.5616319444444444,1515.0,1.952319587628866
Mizoram,2005,2,2156,1214,3370,0.4231023102310231,2375.6666666666665,1.7759472817133444
Mizoram,2006,3,2073,977,3050,-0.03849721706864564,1914.6666666666667,2.121801432958035
Mizoram,2007,4,2083,824,2907,0.00482392667631452,2104.0,2.5279126213592233
Mizoram,2008,5,1989,692,2681,-0.04512722035525684,2048.3333333333335,2.8742774566473988
Mizoram,2009,6,2047,742,2789,0.029160382101558573,2039.6666666666667,2.7587601078167117
Mizoram,2010,7,2174,832,3006,0.06204201270151441,2070.0,2.612980769230769
Mizoram,2011,8,1821,908,2729,-0.1623735050597976,2014.0,2.0055066079295156
Mizoram,2012,9,1766,696,2462,-0.030203185063152116,1920.3333333333333,2.5373563218390807
Mizoram,2013,10,1709,564,2273,-0.03227633069082673,1765.3333333333333,3.030141843971631
Mizoram,2014,11,2140,435,2575,0.2521942656524283,1871.6666666666667,4.919540229885057
Mizoram,2015,12,2228,347,2575,0.041121495327102804,2025.6666666666667,6.420749279538905
Mizoram,2016,13,2425,375,2800,0.08842010771992818,2264.3333333333335,6.466666666666667
Mizoram,2017,14,2118,620,2738,-0.1265979381443299,2257.0,3.4161290322580644
Mizoram,2018,15,1774,577,2351,-0.16241737488196412,2105.6666666666665,3.0745233968804158
Mizoram,2019,16,2379,501,2880,0.3410372040586246,2090.3333333333335,4.748502994011976
Mizoram,2020,17,1787,502,2289,-0.24884405212274066,1980.0,3.5597609561752988
Nagaland,2003,0,976,342,1318,0.0,976.0,2.853801169590643
Nagaland,2004,1,984,482,1466,0.00819672131147541,984.0,2.04149377593361
Nagaland,2005,2,1049,414,1463,0.06605691056910569,1003.0,2.533816425120773
Nagaland,2006,3,1103,308,1411,0.05147759771210677,1045.3333333333333,3.581168831168831
Nagaland,2007,4,1180,305,1485,0.06980961015412511,1110.6666666666667,3.8688524590163933
Nagaland,2008,5,1202,398,1600,0.01864406779661017,1161.6666666666667,3.020100502512563
Nagaland,2009,6,1059,339,1398,-0.11896838602329451,1147.0,3.1238938053097347
Nagaland,2010,7,1059,408,1467,0.0,1106.6666666666667,2.5955882352941178
Nagaland,2011,8,1083,342,1425,0.0226628895184136,1067.0,3.1666666666666665
Nagaland,2012,9,1090,325,1415,0.006463527239150508,1077.3333333333333,3.353846153846154
Nagaland,2013,10,1216,480,1696,0.11559633027522936,1129.6666666666667,2.533333333333333
Nagaland,2014,11,1157,514,1671,-0.04851973684210526,1154.3333333333333,2.2509727626459144
Nagaland,2015,12,1302,626,1928,0.12532411408815902,1225.0,2.0798722044728435
Nagaland,2016,13,1376,532,1908,0.05683563748079877,1278.3333333333333,2.5864661654135337
